iter	Passed	Remaining
0	57	57705
1	58	28956
2	58	19369
3	58	14570
4	58	11690
5	58	9771
6	59	8404
7	59	7374
8	59	6571
9	59	5929
10	60	5404
11	60	4966
12	60	4595
13	60	4278
14	60	4002
15	61	3761
16	61	3548
17	61	3362
18	61	3193
19	62	3043
20	62	2905
21	62	2779
22	62	2664
23	62	2559
24	63	2463
25	63	2373
26	63	2290
27	63	2213
28	63	2141
29	64	2075
30	64	2012
31	64	1953
32	64	1898
33	65	1847
34	65	1798
35	65	1752
36	65	1710
37	65	1669
38	66	1629
39	66	1592
40	66	1556
41	66	1523
42	67	1491
43	67	1460
44	67	1430
45	67	1402
46	67	1375
47	68	1349
48	68	1324
49	68	1300
50	68	1278
51	68	1255
52	69	1234
53	69	1213
54	69	1194
55	69	1175
56	69	1157
57	70	1139
58	70	1122
59	70	1105
60	70	1089
61	71	1074
62	71	1059
63	71	1044
64	71	1030
65	71	1017
66	72	1003
67	72	990
68	72	977
69	72	965
70	72	953
71	73	941
72	73	930
73	73	919
74	73	909
75	73	898
76	74	888
77	74	878
78	74	868
79	74	859
80	74	849
81	75	840
82	75	830
83	75	821
84	75	813
85	75	805
86	75	797
87	76	789
88	76	781
89	76	774
90	76	766
91	76	759
92	77	752
93	77	745
94	77	738
95	77	731
96	77	725
97	78	718
98	78	712
99	78	706
100	78	700
101	78	694
102	79	688
103	79	683
104	79	677
105	79	672
106	79	666
107	80	661
108	80	656
109	80	651
110	80	646
111	80	641
112	81	637
113	81	632
114	81	627
115	81	623
116	81	618
117	82	613
118	82	609
119	82	605
120	82	600
121	82	596
122	83	592
123	83	588
124	83	584
125	83	580
126	83	575
127	83	572
128	84	568
129	84	564
130	84	561
131	84	557
132	84	553
133	85	550
134	85	547
135	85	543
136	85	540
137	86	537
138	86	534
139	86	530
140	86	527
141	86	523
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	506
148	88	503
149	88	500
150	88	497
151	88	494
152	88	491
153	89	489
154	89	486
155	89	484
156	89	481
157	89	478
158	90	476
159	90	473
160	90	470
161	90	468
162	90	465
163	90	463
164	91	461
165	91	459
166	91	457
167	91	454
168	92	452
169	92	450
170	92	448
171	92	445
172	92	443
173	93	441
174	93	439
175	93	437
176	93	435
177	93	433
178	93	431
179	94	429
180	94	427
181	94	425
182	94	423
183	95	421
184	95	419
185	95	417
186	95	415
187	95	413
188	96	412
189	96	410
190	96	408
191	96	406
192	96	405
193	97	403
194	97	401
195	97	399
196	97	398
197	97	396
198	98	394
199	98	393
200	98	391
201	98	389
202	98	388
203	99	386
204	99	385
205	99	383
206	99	381
207	99	380
208	100	378
209	100	377
210	100	375
211	100	374
212	100	373
213	101	371
214	101	370
215	101	368
216	101	367
217	101	365
218	102	364
219	102	362
220	102	361
221	102	360
222	102	358
223	103	357
224	103	355
225	103	354
226	103	353
227	103	351
228	104	350
229	104	349
230	104	348
231	104	346
232	104	345
233	105	344
234	105	342
235	105	341
236	105	340
237	105	339
238	106	337
239	106	336
240	106	335
241	106	334
242	106	333
243	107	331
244	107	330
245	107	329
246	107	328
247	107	327
248	108	325
249	108	324
250	108	323
251	108	322
252	108	321
253	109	320
254	109	319
255	109	318
256	109	317
257	109	316
258	110	315
259	110	314
260	110	312
261	110	311
262	110	310
263	111	309
264	111	308
265	111	307
266	111	306
267	111	305
268	112	304
269	112	303
270	112	302
271	112	301
272	112	300
273	113	299
274	113	298
275	113	297
276	113	296
277	113	295
278	114	294
279	114	294
280	114	293
281	114	292
282	114	291
283	115	290
284	115	289
285	115	288
286	115	287
287	115	286
288	116	285
289	116	284
290	116	283
291	116	282
292	116	282
293	117	281
294	117	280
295	117	279
296	117	278
297	117	277
298	118	276
299	118	276
300	118	275
301	118	274
302	118	273
303	119	272
304	119	271
305	119	271
306	119	270
307	120	269
308	120	268
309	120	268
310	120	267
311	120	266
312	121	265
313	121	265
314	121	264
315	121	263
316	121	262
317	122	261
318	122	261
319	122	260
320	122	259
321	122	258
322	123	258
323	123	257
324	123	256
325	123	255
326	123	254
327	124	254
328	124	253
329	124	252
330	124	252
331	124	251
332	125	250
333	125	249
334	125	249
